ts_code,symbol,name,area,industry,list_date
000547.SZ,547,航天发展,福建,通信设备,19931130
000548.SZ,548,湖南投资,湖南,路桥,19931220
000550.SZ,550,江铃汽车,江西,汽车整车,19931201
000551.SZ,551,创元科技,江苏,专用机械,19940106
000552.SZ,552,甘肃能化,甘肃,煤炭开采,19940106
000553.SZ,553,安道麦A,湖北,农药化肥,19931203
000554.SZ,554,泰山石油,山东,石油贸易,19931215
000555.SZ,555,神州信息,深圳,软件服务,19940408
000557.SZ,557,西部创业,宁夏,铁路,19940617
000558.SZ,558,天府文旅,四川,旅游景点,19940509
000559.SZ,559,万向钱潮,浙江,汽车配件,19940110
000560.SZ,560,我爱我家,云南,房产服务,19940202
000561.SZ,561,烽火电子,陕西,通信设备,19940509
000563.SZ,563,陕国投Ａ,陕西,多元金融,19940110
000564.SZ,564,供销大集,陕西,百货,19940110
000565.SZ,565,渝三峡Ａ,重庆,染料涂料,19940408
000566.SZ,566,海南海药,海南,化学制药,19940525
000567.SZ,567,海德股份,海南,多元金融,19940525
000568.SZ,568,泸州老窖,四川,白酒,19940509
000570.SZ,570,苏常柴Ａ,江苏,农用机械,19940701
000571.SZ,571,新大洲A,海南,煤炭开采,19940525
000572.SZ,572,海马汽车,海南,汽车整车,19940808
000573.SZ,573,粤宏远Ａ,广东,区域地产,19940815
000576.SZ,576,甘化科工,广东,电气设备,19940907
000581.SZ,581,威孚高科,江苏,汽车配件,19980924
000582.SZ,582,北部湾港,广西,港口,19951102
000586.SZ,586,汇源通信,四川,通信设备,19951220
000589.SZ,589,贵州轮胎,贵州,汽车配件,19960308
000590.SZ,590,古汉医药,湖南,中成药,19960119
000591.SZ,591,太阳能,重庆,新型电力,19960208
000592.SZ,592,平潭发展,福建,林业,19960327
000593.SZ,593,德龙汇能,四川,供气供热,19960312
000596.SZ,596,古井贡酒,安徽,白酒,19960927
000597.SZ,597,东北制药,辽宁,化学制药,19960523
000598.SZ,598,兴蓉环境,四川,水务,19960529
000599.SZ,599,青岛双星,山东,汽车配件,19960430
000600.SZ,600,建投能源,河北,火力发电,19960606
000601.SZ,601,韶能股份,广东,水力发电,19960830
000603.SZ,603,盛达资源,北京,铅锌,19960823
000605.SZ,605,渤海股份,北京,水务,19960913
000607.SZ,607,华媒控股,浙江,广告包装,19960830
000612.SZ,612,焦作万方,河南,铝,19960926
000617.SZ,617,中油资本,新疆,多元金融,19961022
000619.SZ,619,海螺新材,安徽,其他建材,19961023
000620.SZ,620,盈新发展,北京,全国地产,19961029
000623.SZ,623,吉林敖东,吉林,中成药,19961028
000625.SZ,625,长安汽车,重庆,汽车整车,19970610
000626.SZ,626,远大控股,江苏,商贸代理,19961128
000628.SZ,628,高新发展,四川,建筑工程,19961118
000629.SZ,629,钒钛股份,四川,小金属,19961115
000630.SZ,630,铜陵有色,安徽,铜,19961120
000631.SZ,631,顺发恒能,浙江,综合类,19961122
000633.SZ,633,合金投资,新疆,小金属,19961112
000635.SZ,635,英力特,宁夏,化工原料,19961120
000636.SZ,636,风华高科,广东,元器件,19961129
000637.SZ,637,茂化实华,广东,石油加工,19961114
000650.SZ,650,仁和药业,江西,中成药,19961210
000651.SZ,651,格力电器,广东,家用电器,19961118
000652.SZ,652,泰达股份,天津,批发业,19961128
000655.SZ,655,金岭矿业,山东,普钢,19961128
000657.SZ,657,中钨高新,海南,小金属,19961205
000659.SZ,659,珠海中富,广东,广告包装,19961203
000661.SZ,661,长春高新,吉林,生物制药,19961218
000663.SZ,663,永安林业,福建,林业,19961206
000665.SZ,665,湖北广电,湖北,影视音像,19961210
000670.SZ,670,盈方微,湖北,元器件,19961217
000672.SZ,672,上峰水泥,甘肃,水泥,19961218
000676.SZ,676,智度股份,广东,互联网,19961224
000678.SZ,678,襄阳轴承,湖北,汽车配件,19970106
000679.SZ,679,大连友谊,辽宁,百货,19970124
000680.SZ,680,山推股份,山东,工程机械,19970122
000681.SZ,681,视觉中国,江苏,互联网,19970121
000682.SZ,682,东方电子,山东,电气设备,19970121
000683.SZ,683,博源化工,内蒙,化工原料,19970131
000685.SZ,685,中山公用,广东,水务,19970123
000686.SZ,686,东北证券,吉林,证券,19970227
000688.SZ,688,国城矿业,四川,铅锌,19970120
000690.SZ,690,宝新能源,广东,火力发电,19970128
000692.SZ,692,惠天热电,辽宁,供气供热,19970227
000695.SZ,695,滨海能源,天津,化工原料,19970218
001696.SZ,1696,宗申动力,重庆,摩托车,19970306
000697.SZ,697,炼石航空,陕西,航空,19970325
000700.SZ,700,模塑科技,江苏,汽车配件,19970228
000701.SZ,701,厦门信达,福建,商贸代理,19970226
000702.SZ,702,正虹科技,湖南,饲料,19970318
000703.SZ,703,恒逸石化,广西,化纤,19970328
000705.SZ,705,浙江震元,浙江,医药商业,19970410
000707.SZ,707,双环科技,湖北,化工原料,19970415
000708.SZ,708,中信特钢,湖北,特种钢,19970326
000709.SZ,709,河钢股份,河北,普钢,19970416
000710.SZ,710,贝瑞基因,四川,医疗保健,19970422
000712.SZ,712,锦龙股份,广东,证券,19970415
